movie_id,movie_name,certificate,genre,description,directors,stars
tt0080474,Brubaker,A,"Crime, Drama            ",The new warden of a small prison farm in Arkansas tries to clean it up of corruption after initially posing as an inmate.,Stuart Rosenberg,"     Robert Redford, Yaphet Kotto, Morgan Freeman, Jane Alexander"
tt0079240,The First Great Train Robbery,A,"Adventure, Crime, Drama            ","England, 1850s. A master criminal aims to rob a train of a large sum of gold. Security is incredibly tight and the task seems an impossible one. However, he has a plan and just the right people to carry it out.",Michael Crichton,"     Sean Connery, Donald Sutherland, Lesley-Anne Down, Alan Webb"
tt0283426,The Jungle Book 2,7,"Animation, Adventure, Comedy            ","Mowgli, missing the jungle and his old friends, runs away from the man village unaware of the danger he's in by going back to the wild.",Steve Trenbirth,"     John Goodman, Haley Joel Osment, Tony Jay, Mae Whitman"
tt0114279,Richard III,R,"Drama, Sci-Fi, War            ",The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,Richard Loncraine,"     Ian McKellen, Annette Bening, Christopher Bowen, Edward Jewesbury"
tt0488478,12,PG-13,"Crime, Drama, Thriller            ",Twelve jurors must decide the fate of a Chechen adolescent charged with murdering his stepfather.,Nikita Mikhalkov,"     Sergey Makovetskiy, Sergey Garmash, Apti Magamaev, Nikita Mikhalkov"
tt0124595,Return to Paradise,R,"Drama, Romance, Thriller            ",Two friends must choose whether to help a third friend who was arrested in Malaysia for drug possession.,Joseph Ruben,"     Vince Vaughn, Anne Heche, Joaquin Phoenix, David Conrad"
tt0974014,Creation,PG-13,"Biography, Drama, Romance            ","Torn between faith and science, and suffering hallucinations, English naturalist Charles Darwin struggles to complete 'On the Origin of Species' and maintain his relationship with his wife.",Jon Amiel,"     Paul Bettany, Jennifer Connelly, Ian Kelly, Guy Henry"
tt0286751,Kairo,R,"Horror, Mystery, Sci-Fi            ",Two groups of people discover evidence that suggests spirits may be trying to invade the human world through the Internet.,Kiyoshi Kurosawa,"     Haruhiko Katô, Kumiko Asô, Koyuki, Kurume Arisaka"
tt2083355,The Best Man Holiday,R,"Comedy, Drama            ","When college friends reunite after 15 years over the Christmas holidays, they discover just how easy it is for long-forgotten rivalries and romances to be reignited.",Malcolm D. Lee,"     Monica Calhoun, Morris Chestnut, Melissa De Sousa, Taye Diggs"
tt0089543,The Man with One Red Shoe,U,"Comedy, Thriller            ",A man picked randomly out of a crowd is made the target of CIA survelliance and pursuit.,Stan Dragoti,"     Tom Hanks, Lori Singer, Dabney Coleman, Charles Durning"
tt0417791,Inside I'm Dancing,R,"Comedy, Drama            ","When the kinetic Rory moves into his room in the Carrigmore Residential Home for the Disabled, his effect on the home is immediate. Most telling is his friendship with Michael, a young man with cerebral palsy and nearly unintelligible speech. Somehow, Rory understands Michael, and encourages him to experience life outside the confines of home.",Damien O'Donnell,"     James McAvoy, Steven Robertson, Romola Garai, Alan King"
tt1396226,Venuto al mondo,R,"Drama, Romance, War            ","A mother brings her teenage son to Sarajevo, where his father died in the Bosnian conflict years ago.",Sergio Castellitto,"     Penélope Cruz, Emile Hirsch, Adnan Haskovic, Saadet Aksoy"
tt0186589,Sugar & Spice,PG-13,"Comedy, Crime            ",A popular high-school cheerleader becomes pregnant by the star quarterback and turns to crime to support her desired lifestyle.,Francine McDougall,"     Marla Sokoloff, Marley Shelton, Melissa George, Mena Suvari"
